model,condition,subject_id,macro_f1,accuracy,n_epochs
BIOT,EEG_ECG,mesa-sleep-0033,0.516092,0.732407,1080
BIOT,EEG_ECG,mesa-sleep-0056,0.796961,0.874913,1439
BIOT,EEG_ECG,mesa-sleep-0081,0.663986,0.769808,1199
BIOT,EEG_ECG,mesa-sleep-0084,0.55863,0.757298,1199
BIOT,EEG_ECG,mesa-sleep-0110,0.620238,0.79909,1319
BIOT,EEG_ECG,mesa-sleep-0118,0.773657,0.840701,1199
BIOT,EEG_ECG,mesa-sleep-0120,0.677007,0.844966,1490
BIOT,EEG_ECG,mesa-sleep-0183,0.62565,0.8082,1439
BIOT,EEG_ECG,mesa-sleep-0225,0.850148,0.894347,1079
BIOT,EEG_ECG,mesa-sleep-0236,0.660015,0.907195,959
BIOT,EEG_ECG,mesa-sleep-0271,0.528339,0.669725,1199
BIOT,EEG_ECG,mesa-sleep-0282,0.64024,0.742285,1199
BIOT,EEG_ECG,mesa-sleep-0318,0.613585,0.829024,1199
BIOT,EEG_ECG,mesa-sleep-0319,0.842485,0.856973,839
BIOT,EEG_ECG,mesa-sleep-0323,0.679776,0.883236,1199
BIOT,EEG_ECG,mesa-sleep-0328,0.577408,0.791701,1205
BIOT,EEG_ECG,mesa-sleep-0338,0.734887,0.804397,1319
BIOT,EEG_ECG,mesa-sleep-0459,0.788265,0.901219,1559
BIOT,EEG_ECG,mesa-sleep-0512,0.38619,0.761468,1199
BIOT,EEG_ECG,mesa-sleep-0528,0.61832,0.810009,1079
BIOT,EEG_ECG,mesa-sleep-0529,0.736795,0.851981,1439
BIOT,EEG_ECG,mesa-sleep-0548,0.62386,0.681186,1079
BIOT,EEG_ECG,mesa-sleep-0555,0.647193,0.716129,155
BIOT,EEG_ECG,mesa-sleep-0563,0.698872,0.76494,1255
BIOT,EEG_ECG,mesa-sleep-0628,0.68206,0.787133,1259
BIOT,EEG_ECG,mesa-sleep-0688,0.502226,0.617238,1079
BIOT,EEG_ECG,mesa-sleep-0705,0.469695,0.651529,1079
BIOT,EEG_ECG,mesa-sleep-0715,0.796886,0.85615,1439
BIOT,EEG_ECG,mesa-sleep-0727,0.562315,0.854167,1440
BIOT,EEG_ECG,mesa-sleep-0747,0.582804,0.727525,1079
BIOT,EEG_ECG,mesa-sleep-0755,0.799978,0.858648,1139
BIOT,EEG_ECG,mesa-sleep-0762,0.788378,0.902015,1439
BIOT,EEG_ECG,mesa-sleep-0771,0.427555,0.597776,1079
BIOT,EEG_ECG,mesa-sleep-0860,0.6141,0.654861,1440
BIOT,EEG_ECG,mesa-sleep-0863,0.662283,0.851715,1079
BIOT,EEG_ECG,mesa-sleep-0889,0.689475,0.791474,1079
BIOT,EEG_ECG,mesa-sleep-0917,0.687474,0.786667,1200
BIOT,EEG_ECG,mesa-sleep-0921,0.742446,0.889507,1439
BIOT,EEG_ECG,mesa-sleep-0928,0.692353,0.822464,1380
BIOT,EEG_ECG,mesa-sleep-0976,0.688073,0.81151,1199
BIOT,EEG_ECG,mesa-sleep-0979,0.55839,0.65987,1079
BIOT,EEG_ECG,mesa-sleep-1030,0.749298,0.863219,1199
BIOT,EEG_ECG,mesa-sleep-1048,0.565292,0.746988,1079
BIOT,EEG_ECG,mesa-sleep-1080,0.727858,0.772041,1259
BIOT,EEG_ECG,mesa-sleep-1087,0.782411,0.858235,1439
BIOT,EEG_ECG,mesa-sleep-1098,0.720292,0.826522,1199
BIOT,EEG_ECG,mesa-sleep-1102,0.726889,0.815844,1439
BIOT,EEG_ECG,mesa-sleep-1127,0.635853,0.756464,1199
BIOT,EEG_ECG,mesa-sleep-1139,0.492019,0.800694,1440
BIOT,EEG_ECG,mesa-sleep-1215,0.705022,0.779817,1199
