model,condition,subject_id,macro_f1,accuracy,n_epochs
BIOT,EEG_ONLY,mesa-sleep-0033,0.530927,0.738889,1080
BIOT,EEG_ONLY,mesa-sleep-0056,0.755738,0.842252,1439
BIOT,EEG_ONLY,mesa-sleep-0081,0.761215,0.819016,1199
BIOT,EEG_ONLY,mesa-sleep-0084,0.745308,0.843203,1199
BIOT,EEG_ONLY,mesa-sleep-0110,0.704216,0.834723,1319
BIOT,EEG_ONLY,mesa-sleep-0118,0.748439,0.814846,1199
BIOT,EEG_ONLY,mesa-sleep-0120,0.656121,0.804027,1490
BIOT,EEG_ONLY,mesa-sleep-0183,0.625566,0.807505,1439
BIOT,EEG_ONLY,mesa-sleep-0225,0.845563,0.89342,1079
BIOT,EEG_ONLY,mesa-sleep-0236,0.69029,0.888425,959
BIOT,EEG_ONLY,mesa-sleep-0271,0.666986,0.769808,1199
BIOT,EEG_ONLY,mesa-sleep-0282,0.704158,0.773144,1199
BIOT,EEG_ONLY,mesa-sleep-0318,0.762708,0.884904,1199
BIOT,EEG_ONLY,mesa-sleep-0319,0.758733,0.749702,839
BIOT,EEG_ONLY,mesa-sleep-0323,0.799024,0.929108,1199
BIOT,EEG_ONLY,mesa-sleep-0328,0.615831,0.817427,1205
BIOT,EEG_ONLY,mesa-sleep-0338,0.584825,0.817286,1319
BIOT,EEG_ONLY,mesa-sleep-0459,0.775767,0.892239,1559
BIOT,EEG_ONLY,mesa-sleep-0512,0.378257,0.742285,1199
BIOT,EEG_ONLY,mesa-sleep-0528,0.623129,0.796108,1079
BIOT,EEG_ONLY,mesa-sleep-0529,0.807841,0.872133,1439
BIOT,EEG_ONLY,mesa-sleep-0548,0.629151,0.672845,1079
BIOT,EEG_ONLY,mesa-sleep-0555,0.633466,0.670968,155
BIOT,EEG_ONLY,mesa-sleep-0563,0.741385,0.803984,1255
BIOT,EEG_ONLY,mesa-sleep-0628,0.659287,0.77363,1259
BIOT,EEG_ONLY,mesa-sleep-0688,0.530404,0.572753,1079
BIOT,EEG_ONLY,mesa-sleep-0705,0.561532,0.649676,1079
BIOT,EEG_ONLY,mesa-sleep-0715,0.816401,0.865879,1439
BIOT,EEG_ONLY,mesa-sleep-0727,0.557618,0.835417,1440
BIOT,EEG_ONLY,mesa-sleep-0747,0.588684,0.713624,1079
BIOT,EEG_ONLY,mesa-sleep-0755,0.838277,0.884109,1139
BIOT,EEG_ONLY,mesa-sleep-0762,0.785287,0.895066,1439
BIOT,EEG_ONLY,mesa-sleep-0771,0.397202,0.516219,1079
BIOT,EEG_ONLY,mesa-sleep-0860,0.695298,0.745833,1440
BIOT,EEG_ONLY,mesa-sleep-0863,0.698033,0.801668,1079
BIOT,EEG_ONLY,mesa-sleep-0889,0.746478,0.848007,1079
BIOT,EEG_ONLY,mesa-sleep-0917,0.670954,0.716667,1200
BIOT,EEG_ONLY,mesa-sleep-0921,0.7319,0.883252,1439
BIOT,EEG_ONLY,mesa-sleep-0928,0.712525,0.823913,1380
BIOT,EEG_ONLY,mesa-sleep-0976,0.664154,0.796497,1199
BIOT,EEG_ONLY,mesa-sleep-0979,0.64521,0.687674,1079
BIOT,EEG_ONLY,mesa-sleep-1030,0.737075,0.848207,1199
BIOT,EEG_ONLY,mesa-sleep-1048,0.766389,0.886006,1079
BIOT,EEG_ONLY,mesa-sleep-1080,0.703033,0.770453,1259
BIOT,EEG_ONLY,mesa-sleep-1087,0.804272,0.864489,1439
BIOT,EEG_ONLY,mesa-sleep-1098,0.781667,0.866555,1199
BIOT,EEG_ONLY,mesa-sleep-1102,0.612333,0.688673,1439
BIOT,EEG_ONLY,mesa-sleep-1127,0.626967,0.738949,1199
BIOT,EEG_ONLY,mesa-sleep-1139,0.65478,0.831944,1440
BIOT,EEG_ONLY,mesa-sleep-1215,0.698638,0.747289,1199
