model,condition,subject_id,macro_f1,accuracy,n_epochs
LaBraM,ECG_ONLY,mesa-sleep-0033,0.126798,0.159259,1080
LaBraM,ECG_ONLY,mesa-sleep-0056,0.37393,0.547603,1439
LaBraM,ECG_ONLY,mesa-sleep-0081,0.269916,0.361968,1199
LaBraM,ECG_ONLY,mesa-sleep-0084,0.299281,0.462886,1199
LaBraM,ECG_ONLY,mesa-sleep-0110,0.413497,0.616376,1319
LaBraM,ECG_ONLY,mesa-sleep-0118,0.376984,0.496247,1199
LaBraM,ECG_ONLY,mesa-sleep-0120,0.177293,0.258389,1490
LaBraM,ECG_ONLY,mesa-sleep-0183,0.309747,0.533009,1439
LaBraM,ECG_ONLY,mesa-sleep-0225,0.332527,0.458758,1079
LaBraM,ECG_ONLY,mesa-sleep-0236,0.134917,0.229406,959
LaBraM,ECG_ONLY,mesa-sleep-0271,0.343936,0.510425,1199
LaBraM,ECG_ONLY,mesa-sleep-0282,0.336389,0.486239,1199
LaBraM,ECG_ONLY,mesa-sleep-0318,0.145852,0.273561,1199
LaBraM,ECG_ONLY,mesa-sleep-0319,0.101963,0.283671,839
LaBraM,ECG_ONLY,mesa-sleep-0323,0.146941,0.24437,1199
LaBraM,ECG_ONLY,mesa-sleep-0328,0.232905,0.351037,1205
LaBraM,ECG_ONLY,mesa-sleep-0338,0.283062,0.46702,1319
LaBraM,ECG_ONLY,mesa-sleep-0459,0.381137,0.695959,1559
LaBraM,ECG_ONLY,mesa-sleep-0512,0.213229,0.431193,1199
LaBraM,ECG_ONLY,mesa-sleep-0528,0.271931,0.414272,1079
LaBraM,ECG_ONLY,mesa-sleep-0529,0.285694,0.399583,1439
LaBraM,ECG_ONLY,mesa-sleep-0548,0.242764,0.294717,1079
LaBraM,ECG_ONLY,mesa-sleep-0555,0.254597,0.335484,155
LaBraM,ECG_ONLY,mesa-sleep-0563,0.243116,0.3251,1255
LaBraM,ECG_ONLY,mesa-sleep-0628,0.236024,0.322478,1259
LaBraM,ECG_ONLY,mesa-sleep-0688,0.121074,0.164041,1079
LaBraM,ECG_ONLY,mesa-sleep-0705,0.319996,0.44671,1079
LaBraM,ECG_ONLY,mesa-sleep-0715,0.198127,0.410007,1439
LaBraM,ECG_ONLY,mesa-sleep-0727,0.318559,0.505556,1440
LaBraM,ECG_ONLY,mesa-sleep-0747,0.266625,0.477294,1079
LaBraM,ECG_ONLY,mesa-sleep-0755,0.293225,0.369622,1139
LaBraM,ECG_ONLY,mesa-sleep-0762,0.250175,0.414871,1439
LaBraM,ECG_ONLY,mesa-sleep-0771,0.324474,0.533828,1079
LaBraM,ECG_ONLY,mesa-sleep-0860,0.091505,0.222917,1440
LaBraM,ECG_ONLY,mesa-sleep-0863,0.10065,0.26228,1079
LaBraM,ECG_ONLY,mesa-sleep-0889,0.18146,0.242817,1079
LaBraM,ECG_ONLY,mesa-sleep-0917,0.275079,0.373333,1200
LaBraM,ECG_ONLY,mesa-sleep-0921,0.386583,0.693537,1439
LaBraM,ECG_ONLY,mesa-sleep-0928,0.273094,0.481884,1380
LaBraM,ECG_ONLY,mesa-sleep-0976,0.176147,0.28774,1199
LaBraM,ECG_ONLY,mesa-sleep-0979,0.213074,0.421687,1079
LaBraM,ECG_ONLY,mesa-sleep-1030,0.290711,0.408674,1199
LaBraM,ECG_ONLY,mesa-sleep-1048,0.199676,0.263207,1079
LaBraM,ECG_ONLY,mesa-sleep-1080,0.3167,0.429706,1259
LaBraM,ECG_ONLY,mesa-sleep-1087,0.367477,0.597637,1439
LaBraM,ECG_ONLY,mesa-sleep-1098,0.139779,0.288574,1199
LaBraM,ECG_ONLY,mesa-sleep-1102,0.330209,0.501737,1439
LaBraM,ECG_ONLY,mesa-sleep-1127,0.29701,0.521268,1199
LaBraM,ECG_ONLY,mesa-sleep-1139,0.288069,0.448611,1440
LaBraM,ECG_ONLY,mesa-sleep-1215,0.106727,0.273561,1199
