model,condition,subject_id,macro_f1,accuracy,n_epochs
LaBraM,EEG_ECG,mesa-sleep-0033,0.472388,0.659259,1080
LaBraM,EEG_ECG,mesa-sleep-0056,0.723028,0.823489,1439
LaBraM,EEG_ECG,mesa-sleep-0081,0.693207,0.767306,1199
LaBraM,EEG_ECG,mesa-sleep-0084,0.546516,0.658048,1199
LaBraM,EEG_ECG,mesa-sleep-0110,0.677342,0.800607,1319
LaBraM,EEG_ECG,mesa-sleep-0118,0.631855,0.726439,1199
LaBraM,EEG_ECG,mesa-sleep-0120,0.56406,0.771141,1490
LaBraM,EEG_ECG,mesa-sleep-0183,0.562304,0.772759,1439
LaBraM,EEG_ECG,mesa-sleep-0225,0.817192,0.881372,1079
LaBraM,EEG_ECG,mesa-sleep-0236,0.65277,0.845673,959
LaBraM,EEG_ECG,mesa-sleep-0271,0.394268,0.543786,1199
LaBraM,EEG_ECG,mesa-sleep-0282,0.725818,0.81151,1199
LaBraM,EEG_ECG,mesa-sleep-0318,0.623769,0.813178,1199
LaBraM,EEG_ECG,mesa-sleep-0319,0.567551,0.673421,839
LaBraM,EEG_ECG,mesa-sleep-0323,0.62234,0.858215,1199
LaBraM,EEG_ECG,mesa-sleep-0328,0.438374,0.786722,1205
LaBraM,EEG_ECG,mesa-sleep-0338,0.501593,0.714936,1319
LaBraM,EEG_ECG,mesa-sleep-0459,0.778665,0.885183,1559
LaBraM,EEG_ECG,mesa-sleep-0512,0.345738,0.829024,1199
LaBraM,EEG_ECG,mesa-sleep-0528,0.519353,0.775718,1079
LaBraM,EEG_ECG,mesa-sleep-0529,0.684915,0.772759,1439
LaBraM,EEG_ECG,mesa-sleep-0548,0.624045,0.695088,1079
LaBraM,EEG_ECG,mesa-sleep-0555,0.582132,0.664516,155
LaBraM,EEG_ECG,mesa-sleep-0563,0.650314,0.700398,1255
LaBraM,EEG_ECG,mesa-sleep-0628,0.685067,0.799047,1259
LaBraM,EEG_ECG,mesa-sleep-0688,0.440116,0.546803,1079
LaBraM,EEG_ECG,mesa-sleep-0705,0.56407,0.632067,1079
LaBraM,EEG_ECG,mesa-sleep-0715,0.769935,0.838082,1439
LaBraM,EEG_ECG,mesa-sleep-0727,0.448988,0.794444,1440
LaBraM,EEG_ECG,mesa-sleep-0747,0.534947,0.70899,1079
LaBraM,EEG_ECG,mesa-sleep-0755,0.801216,0.870061,1139
LaBraM,EEG_ECG,mesa-sleep-0762,0.746561,0.876998,1439
LaBraM,EEG_ECG,mesa-sleep-0771,0.360665,0.50139,1079
LaBraM,EEG_ECG,mesa-sleep-0860,0.691292,0.8125,1440
LaBraM,EEG_ECG,mesa-sleep-0863,0.694118,0.784059,1079
LaBraM,EEG_ECG,mesa-sleep-0889,0.545722,0.614458,1079
LaBraM,EEG_ECG,mesa-sleep-0917,0.56189,0.659167,1200
LaBraM,EEG_ECG,mesa-sleep-0921,0.628924,0.839472,1439
LaBraM,EEG_ECG,mesa-sleep-0928,0.442462,0.68913,1380
LaBraM,EEG_ECG,mesa-sleep-0976,0.535161,0.718098,1199
LaBraM,EEG_ECG,mesa-sleep-0979,0.524541,0.571826,1079
LaBraM,EEG_ECG,mesa-sleep-1030,0.670884,0.817348,1199
LaBraM,EEG_ECG,mesa-sleep-1048,0.68461,0.826691,1079
LaBraM,EEG_ECG,mesa-sleep-1080,0.690848,0.737093,1259
LaBraM,EEG_ECG,mesa-sleep-1087,0.766743,0.839472,1439
LaBraM,EEG_ECG,mesa-sleep-1098,0.703095,0.849875,1199
LaBraM,EEG_ECG,mesa-sleep-1102,0.631996,0.756776,1439
LaBraM,EEG_ECG,mesa-sleep-1127,0.596806,0.701418,1199
LaBraM,EEG_ECG,mesa-sleep-1139,0.465498,0.738194,1440
LaBraM,EEG_ECG,mesa-sleep-1215,0.623382,0.753128,1199
