model,condition,subject_id,macro_f1,accuracy,n_epochs
LaBraM,EEG_ONLY,mesa-sleep-0033,0.451696,0.72963,1080
LaBraM,EEG_ONLY,mesa-sleep-0056,0.711834,0.799861,1439
LaBraM,EEG_ONLY,mesa-sleep-0081,0.727807,0.787323,1199
LaBraM,EEG_ONLY,mesa-sleep-0084,0.675484,0.804837,1199
LaBraM,EEG_ONLY,mesa-sleep-0110,0.675648,0.832449,1319
LaBraM,EEG_ONLY,mesa-sleep-0118,0.785962,0.854045,1199
LaBraM,EEG_ONLY,mesa-sleep-0120,0.614177,0.811409,1490
LaBraM,EEG_ONLY,mesa-sleep-0183,0.547637,0.726894,1439
LaBraM,EEG_ONLY,mesa-sleep-0225,0.808013,0.885079,1079
LaBraM,EEG_ONLY,mesa-sleep-0236,0.677982,0.891554,959
LaBraM,EEG_ONLY,mesa-sleep-0271,0.472825,0.668891,1199
LaBraM,EEG_ONLY,mesa-sleep-0282,0.71304,0.789825,1199
LaBraM,EEG_ONLY,mesa-sleep-0318,0.653246,0.810676,1199
LaBraM,EEG_ONLY,mesa-sleep-0319,0.740721,0.777116,839
LaBraM,EEG_ONLY,mesa-sleep-0323,0.68367,0.895746,1199
LaBraM,EEG_ONLY,mesa-sleep-0328,0.57343,0.80166,1205
LaBraM,EEG_ONLY,mesa-sleep-0338,0.534762,0.752843,1319
LaBraM,EEG_ONLY,mesa-sleep-0459,0.790291,0.896087,1559
LaBraM,EEG_ONLY,mesa-sleep-0512,0.429911,0.827356,1199
LaBraM,EEG_ONLY,mesa-sleep-0528,0.567701,0.752549,1079
LaBraM,EEG_ONLY,mesa-sleep-0529,0.770495,0.85615,1439
LaBraM,EEG_ONLY,mesa-sleep-0548,0.615614,0.668211,1079
LaBraM,EEG_ONLY,mesa-sleep-0555,0.602408,0.658065,155
LaBraM,EEG_ONLY,mesa-sleep-0563,0.6469,0.694821,1255
LaBraM,EEG_ONLY,mesa-sleep-0628,0.66022,0.76807,1259
LaBraM,EEG_ONLY,mesa-sleep-0688,0.533412,0.603336,1079
LaBraM,EEG_ONLY,mesa-sleep-0705,0.526349,0.596849,1079
LaBraM,EEG_ONLY,mesa-sleep-0715,0.768827,0.832523,1439
LaBraM,EEG_ONLY,mesa-sleep-0727,0.442349,0.788194,1440
LaBraM,EEG_ONLY,mesa-sleep-0747,0.521029,0.649676,1079
LaBraM,EEG_ONLY,mesa-sleep-0755,0.810738,0.882353,1139
LaBraM,EEG_ONLY,mesa-sleep-0762,0.757384,0.885337,1439
LaBraM,EEG_ONLY,mesa-sleep-0771,0.447324,0.531974,1079
LaBraM,EEG_ONLY,mesa-sleep-0860,0.680219,0.722222,1440
LaBraM,EEG_ONLY,mesa-sleep-0863,0.688278,0.758109,1079
LaBraM,EEG_ONLY,mesa-sleep-0889,0.67077,0.781279,1079
LaBraM,EEG_ONLY,mesa-sleep-0917,0.573525,0.616667,1200
LaBraM,EEG_ONLY,mesa-sleep-0921,0.689784,0.86171,1439
LaBraM,EEG_ONLY,mesa-sleep-0928,0.5514,0.774638,1380
LaBraM,EEG_ONLY,mesa-sleep-0976,0.642489,0.743953,1199
LaBraM,EEG_ONLY,mesa-sleep-0979,0.623594,0.662651,1079
LaBraM,EEG_ONLY,mesa-sleep-1030,0.687114,0.805671,1199
LaBraM,EEG_ONLY,mesa-sleep-1048,0.729148,0.873031,1079
LaBraM,EEG_ONLY,mesa-sleep-1080,0.669473,0.741064,1259
LaBraM,EEG_ONLY,mesa-sleep-1087,0.75392,0.817234,1439
LaBraM,EEG_ONLY,mesa-sleep-1098,0.753855,0.861551,1199
LaBraM,EEG_ONLY,mesa-sleep-1102,0.622148,0.739402,1439
LaBraM,EEG_ONLY,mesa-sleep-1127,0.590448,0.690575,1199
LaBraM,EEG_ONLY,mesa-sleep-1139,0.522022,0.783333,1440
LaBraM,EEG_ONLY,mesa-sleep-1215,0.592473,0.671393,1199
