model,condition,subject_id,macro_f1,accuracy,n_epochs
MOMENT,ECG_ONLY,mesa-sleep-0033,0.185596,0.262037,1080
MOMENT,ECG_ONLY,mesa-sleep-0056,0.327298,0.438499,1439
MOMENT,ECG_ONLY,mesa-sleep-0081,0.233209,0.326939,1199
MOMENT,ECG_ONLY,mesa-sleep-0084,0.300931,0.372811,1199
MOMENT,ECG_ONLY,mesa-sleep-0110,0.240845,0.461713,1319
MOMENT,ECG_ONLY,mesa-sleep-0118,0.321851,0.372811,1199
MOMENT,ECG_ONLY,mesa-sleep-0120,0.153107,0.321477,1490
MOMENT,ECG_ONLY,mesa-sleep-0183,0.334976,0.606671,1439
MOMENT,ECG_ONLY,mesa-sleep-0225,0.238745,0.374421,1079
MOMENT,ECG_ONLY,mesa-sleep-0236,0.242907,0.413973,959
MOMENT,ECG_ONLY,mesa-sleep-0271,0.445593,0.636364,1199
MOMENT,ECG_ONLY,mesa-sleep-0282,0.368162,0.537948,1199
MOMENT,ECG_ONLY,mesa-sleep-0318,0.119273,0.173478,1199
MOMENT,ECG_ONLY,mesa-sleep-0319,0.229159,0.382598,839
MOMENT,ECG_ONLY,mesa-sleep-0323,0.17459,0.341118,1199
MOMENT,ECG_ONLY,mesa-sleep-0328,0.252749,0.375934,1205
MOMENT,ECG_ONLY,mesa-sleep-0338,0.321203,0.580743,1319
MOMENT,ECG_ONLY,mesa-sleep-0459,0.343621,0.665811,1559
MOMENT,ECG_ONLY,mesa-sleep-0512,0.139957,0.261885,1199
MOMENT,ECG_ONLY,mesa-sleep-0528,0.314884,0.448563,1079
MOMENT,ECG_ONLY,mesa-sleep-0529,0.22907,0.33426,1439
MOMENT,ECG_ONLY,mesa-sleep-0548,0.282016,0.425394,1079
MOMENT,ECG_ONLY,mesa-sleep-0555,0.255508,0.354839,155
MOMENT,ECG_ONLY,mesa-sleep-0563,0.246271,0.317928,1255
MOMENT,ECG_ONLY,mesa-sleep-0628,0.301686,0.386815,1259
MOMENT,ECG_ONLY,mesa-sleep-0688,0.158391,0.285449,1079
MOMENT,ECG_ONLY,mesa-sleep-0705,0.224889,0.332715,1079
MOMENT,ECG_ONLY,mesa-sleep-0715,0.2822,0.373871,1439
MOMENT,ECG_ONLY,mesa-sleep-0727,0.380823,0.564583,1440
MOMENT,ECG_ONLY,mesa-sleep-0747,0.339305,0.520853,1079
MOMENT,ECG_ONLY,mesa-sleep-0755,0.238461,0.342406,1139
MOMENT,ECG_ONLY,mesa-sleep-0762,0.235141,0.546213,1439
MOMENT,ECG_ONLY,mesa-sleep-0771,0.348157,0.555144,1079
MOMENT,ECG_ONLY,mesa-sleep-0860,0.216204,0.415278,1440
MOMENT,ECG_ONLY,mesa-sleep-0863,0.112708,0.255792,1079
MOMENT,ECG_ONLY,mesa-sleep-0889,0.221267,0.341057,1079
MOMENT,ECG_ONLY,mesa-sleep-0917,0.286794,0.414167,1200
MOMENT,ECG_ONLY,mesa-sleep-0921,0.296764,0.578179,1439
MOMENT,ECG_ONLY,mesa-sleep-0928,0.343362,0.494203,1380
MOMENT,ECG_ONLY,mesa-sleep-0976,0.131255,0.181818,1199
MOMENT,ECG_ONLY,mesa-sleep-0979,0.229798,0.341983,1079
MOMENT,ECG_ONLY,mesa-sleep-1030,0.344856,0.465388,1199
MOMENT,ECG_ONLY,mesa-sleep-1048,0.142158,0.198332,1079
MOMENT,ECG_ONLY,mesa-sleep-1080,0.334323,0.460683,1259
MOMENT,ECG_ONLY,mesa-sleep-1087,0.39206,0.544128,1439
MOMENT,ECG_ONLY,mesa-sleep-1098,0.115008,0.267723,1199
MOMENT,ECG_ONLY,mesa-sleep-1102,0.317769,0.537874,1439
MOMENT,ECG_ONLY,mesa-sleep-1127,0.314276,0.537948,1199
MOMENT,ECG_ONLY,mesa-sleep-1139,0.269013,0.415972,1440
MOMENT,ECG_ONLY,mesa-sleep-1215,0.252868,0.432861,1199
