model,condition,subject_id,macro_f1,accuracy,n_epochs
MOMENT,EEG_ECG,mesa-sleep-0033,0.295822,0.409259,1080
MOMENT,EEG_ECG,mesa-sleep-0056,0.646113,0.751911,1439
MOMENT,EEG_ECG,mesa-sleep-0081,0.643915,0.698916,1199
MOMENT,EEG_ECG,mesa-sleep-0084,0.55555,0.657214,1199
MOMENT,EEG_ECG,mesa-sleep-0110,0.567025,0.730857,1319
MOMENT,EEG_ECG,mesa-sleep-0118,0.588573,0.663053,1199
MOMENT,EEG_ECG,mesa-sleep-0120,0.501418,0.633557,1490
MOMENT,EEG_ECG,mesa-sleep-0183,0.498781,0.71369,1439
MOMENT,EEG_ECG,mesa-sleep-0225,0.719532,0.820204,1079
MOMENT,EEG_ECG,mesa-sleep-0236,0.521423,0.698644,959
MOMENT,EEG_ECG,mesa-sleep-0271,0.47103,0.669725,1199
MOMENT,EEG_ECG,mesa-sleep-0282,0.670555,0.779817,1199
MOMENT,EEG_ECG,mesa-sleep-0318,0.48852,0.59633,1199
MOMENT,EEG_ECG,mesa-sleep-0319,0.622942,0.682956,839
MOMENT,EEG_ECG,mesa-sleep-0323,0.44867,0.534612,1199
MOMENT,EEG_ECG,mesa-sleep-0328,0.443764,0.707054,1205
MOMENT,EEG_ECG,mesa-sleep-0338,0.489013,0.711903,1319
MOMENT,EEG_ECG,mesa-sleep-0459,0.726908,0.854394,1559
MOMENT,EEG_ECG,mesa-sleep-0512,0.31715,0.694746,1199
MOMENT,EEG_ECG,mesa-sleep-0528,0.519002,0.752549,1079
MOMENT,EEG_ECG,mesa-sleep-0529,0.691329,0.781793,1439
MOMENT,EEG_ECG,mesa-sleep-0548,0.552328,0.618165,1079
MOMENT,EEG_ECG,mesa-sleep-0555,0.458251,0.56129,155
MOMENT,EEG_ECG,mesa-sleep-0563,0.596817,0.670916,1255
MOMENT,EEG_ECG,mesa-sleep-0628,0.530316,0.663225,1259
MOMENT,EEG_ECG,mesa-sleep-0688,0.504888,0.544949,1079
MOMENT,EEG_ECG,mesa-sleep-0705,0.38838,0.552363,1079
MOMENT,EEG_ECG,mesa-sleep-0715,0.656319,0.741487,1439
MOMENT,EEG_ECG,mesa-sleep-0727,0.48124,0.754167,1440
MOMENT,EEG_ECG,mesa-sleep-0747,0.442105,0.562558,1079
MOMENT,EEG_ECG,mesa-sleep-0755,0.744212,0.829675,1139
MOMENT,EEG_ECG,mesa-sleep-0762,0.701491,0.845031,1439
MOMENT,EEG_ECG,mesa-sleep-0771,0.309337,0.44949,1079
MOMENT,EEG_ECG,mesa-sleep-0860,0.602633,0.723611,1440
MOMENT,EEG_ECG,mesa-sleep-0863,0.564995,0.669138,1079
MOMENT,EEG_ECG,mesa-sleep-0889,0.496073,0.597776,1079
MOMENT,EEG_ECG,mesa-sleep-0917,0.567554,0.649167,1200
MOMENT,EEG_ECG,mesa-sleep-0921,0.650109,0.851286,1439
MOMENT,EEG_ECG,mesa-sleep-0928,0.588522,0.722464,1380
MOMENT,EEG_ECG,mesa-sleep-0976,0.432489,0.529608,1199
MOMENT,EEG_ECG,mesa-sleep-0979,0.513361,0.575533,1079
MOMENT,EEG_ECG,mesa-sleep-1030,0.629661,0.758132,1199
MOMENT,EEG_ECG,mesa-sleep-1048,0.610249,0.712697,1079
MOMENT,EEG_ECG,mesa-sleep-1080,0.608309,0.654488,1259
MOMENT,EEG_ECG,mesa-sleep-1087,0.65475,0.756081,1439
MOMENT,EEG_ECG,mesa-sleep-1098,0.676502,0.83653,1199
MOMENT,EEG_ECG,mesa-sleep-1102,0.52731,0.648367,1439
MOMENT,EEG_ECG,mesa-sleep-1127,0.590408,0.737281,1199
MOMENT,EEG_ECG,mesa-sleep-1139,0.515386,0.736111,1440
MOMENT,EEG_ECG,mesa-sleep-1215,0.54135,0.688073,1199
