model,condition,subject_id,macro_f1,accuracy,n_epochs
MOMENT,EEG_ONLY,mesa-sleep-0033,0.333431,0.473148,1080
MOMENT,EEG_ONLY,mesa-sleep-0056,0.653578,0.751911,1439
MOMENT,EEG_ONLY,mesa-sleep-0081,0.640813,0.688907,1199
MOMENT,EEG_ONLY,mesa-sleep-0084,0.530056,0.623019,1199
MOMENT,EEG_ONLY,mesa-sleep-0110,0.577355,0.733131,1319
MOMENT,EEG_ONLY,mesa-sleep-0118,0.577367,0.634696,1199
MOMENT,EEG_ONLY,mesa-sleep-0120,0.478543,0.572483,1490
MOMENT,EEG_ONLY,mesa-sleep-0183,0.46983,0.656706,1439
MOMENT,EEG_ONLY,mesa-sleep-0225,0.729159,0.820204,1079
MOMENT,EEG_ONLY,mesa-sleep-0236,0.539324,0.732013,959
MOMENT,EEG_ONLY,mesa-sleep-0271,0.501581,0.642202,1199
MOMENT,EEG_ONLY,mesa-sleep-0282,0.655419,0.741451,1199
MOMENT,EEG_ONLY,mesa-sleep-0318,0.589006,0.739783,1199
MOMENT,EEG_ONLY,mesa-sleep-0319,0.668263,0.707986,839
MOMENT,EEG_ONLY,mesa-sleep-0323,0.494812,0.593828,1199
MOMENT,EEG_ONLY,mesa-sleep-0328,0.437913,0.706224,1205
MOMENT,EEG_ONLY,mesa-sleep-0338,0.495163,0.716452,1319
MOMENT,EEG_ONLY,mesa-sleep-0459,0.730463,0.853111,1559
MOMENT,EEG_ONLY,mesa-sleep-0512,0.30059,0.680567,1199
MOMENT,EEG_ONLY,mesa-sleep-0528,0.52067,0.742354,1079
MOMENT,EEG_ONLY,mesa-sleep-0529,0.676846,0.772064,1439
MOMENT,EEG_ONLY,mesa-sleep-0548,0.556313,0.617238,1079
MOMENT,EEG_ONLY,mesa-sleep-0555,0.438051,0.529032,155
MOMENT,EEG_ONLY,mesa-sleep-0563,0.595062,0.654183,1255
MOMENT,EEG_ONLY,mesa-sleep-0628,0.554723,0.683876,1259
MOMENT,EEG_ONLY,mesa-sleep-0688,0.520591,0.573679,1079
MOMENT,EEG_ONLY,mesa-sleep-0705,0.363697,0.528267,1079
MOMENT,EEG_ONLY,mesa-sleep-0715,0.634817,0.707436,1439
MOMENT,EEG_ONLY,mesa-sleep-0727,0.47096,0.711111,1440
MOMENT,EEG_ONLY,mesa-sleep-0747,0.426795,0.53012,1079
MOMENT,EEG_ONLY,mesa-sleep-0755,0.709777,0.791923,1139
MOMENT,EEG_ONLY,mesa-sleep-0762,0.705464,0.824183,1439
MOMENT,EEG_ONLY,mesa-sleep-0771,0.302864,0.41798,1079
MOMENT,EEG_ONLY,mesa-sleep-0860,0.601771,0.713889,1440
MOMENT,EEG_ONLY,mesa-sleep-0863,0.533071,0.623726,1079
MOMENT,EEG_ONLY,mesa-sleep-0889,0.456892,0.531974,1079
MOMENT,EEG_ONLY,mesa-sleep-0917,0.564871,0.6325,1200
MOMENT,EEG_ONLY,mesa-sleep-0921,0.511142,0.62196,1439
MOMENT,EEG_ONLY,mesa-sleep-0928,0.58822,0.702174,1380
MOMENT,EEG_ONLY,mesa-sleep-0976,0.42619,0.528774,1199
MOMENT,EEG_ONLY,mesa-sleep-0979,0.509745,0.560704,1079
MOMENT,EEG_ONLY,mesa-sleep-1030,0.603717,0.724771,1199
MOMENT,EEG_ONLY,mesa-sleep-1048,0.613497,0.695088,1079
MOMENT,EEG_ONLY,mesa-sleep-1080,0.613493,0.653693,1259
MOMENT,EEG_ONLY,mesa-sleep-1087,0.652178,0.745657,1439
MOMENT,EEG_ONLY,mesa-sleep-1098,0.648909,0.790659,1199
MOMENT,EEG_ONLY,mesa-sleep-1102,0.508555,0.61779,1439
MOMENT,EEG_ONLY,mesa-sleep-1127,0.597599,0.718098,1199
MOMENT,EEG_ONLY,mesa-sleep-1139,0.410133,0.679167,1440
MOMENT,EEG_ONLY,mesa-sleep-1215,0.570228,0.701418,1199
