model,condition,subject_id,macro_f1,accuracy,n_epochs
SensorLM,EEG_ECG,mesa-sleep-0033,0.419688,0.636111,1080
SensorLM,EEG_ECG,mesa-sleep-0056,0.666194,0.784573,1439
SensorLM,EEG_ECG,mesa-sleep-0081,0.646688,0.733111,1199
SensorLM,EEG_ECG,mesa-sleep-0084,0.539771,0.640534,1199
SensorLM,EEG_ECG,mesa-sleep-0110,0.590906,0.745262,1319
SensorLM,EEG_ECG,mesa-sleep-0118,0.717109,0.782319,1199
SensorLM,EEG_ECG,mesa-sleep-0120,0.569531,0.769128,1490
SensorLM,EEG_ECG,mesa-sleep-0183,0.475496,0.649757,1439
SensorLM,EEG_ECG,mesa-sleep-0225,0.750822,0.831325,1079
SensorLM,EEG_ECG,mesa-sleep-0236,0.512257,0.773723,959
SensorLM,EEG_ECG,mesa-sleep-0271,0.474062,0.668891,1199
SensorLM,EEG_ECG,mesa-sleep-0282,0.669357,0.725605,1199
SensorLM,EEG_ECG,mesa-sleep-0318,0.618253,0.817348,1199
SensorLM,EEG_ECG,mesa-sleep-0319,0.594039,0.676996,839
SensorLM,EEG_ECG,mesa-sleep-0323,0.606831,0.81985,1199
SensorLM,EEG_ECG,mesa-sleep-0328,0.39572,0.73361,1205
SensorLM,EEG_ECG,mesa-sleep-0338,0.399495,0.636846,1319
SensorLM,EEG_ECG,mesa-sleep-0459,0.710017,0.826171,1559
SensorLM,EEG_ECG,mesa-sleep-0512,0.367428,0.672227,1199
SensorLM,EEG_ECG,mesa-sleep-0528,0.511995,0.746988,1079
SensorLM,EEG_ECG,mesa-sleep-0529,0.697633,0.781098,1439
SensorLM,EEG_ECG,mesa-sleep-0548,0.624618,0.670992,1079
SensorLM,EEG_ECG,mesa-sleep-0555,0.586878,0.632258,155
SensorLM,EEG_ECG,mesa-sleep-0563,0.591155,0.63745,1255
SensorLM,EEG_ECG,mesa-sleep-0628,0.608451,0.745036,1259
SensorLM,EEG_ECG,mesa-sleep-0688,0.468774,0.526413,1079
SensorLM,EEG_ECG,mesa-sleep-0705,0.543091,0.593142,1079
SensorLM,EEG_ECG,mesa-sleep-0715,0.685727,0.758165,1439
SensorLM,EEG_ECG,mesa-sleep-0727,0.507121,0.772222,1440
SensorLM,EEG_ECG,mesa-sleep-0747,0.51581,0.647822,1079
SensorLM,EEG_ECG,mesa-sleep-0755,0.709622,0.806848,1139
SensorLM,EEG_ECG,mesa-sleep-0762,0.712802,0.851981,1439
SensorLM,EEG_ECG,mesa-sleep-0771,0.306597,0.416126,1079
SensorLM,EEG_ECG,mesa-sleep-0860,0.558219,0.661806,1440
SensorLM,EEG_ECG,mesa-sleep-0863,0.616728,0.715477,1079
SensorLM,EEG_ECG,mesa-sleep-0889,0.506264,0.539388,1079
SensorLM,EEG_ECG,mesa-sleep-0917,0.47611,0.581667,1200
SensorLM,EEG_ECG,mesa-sleep-0921,0.604523,0.81098,1439
SensorLM,EEG_ECG,mesa-sleep-0928,0.479899,0.686232,1380
SensorLM,EEG_ECG,mesa-sleep-0976,0.401371,0.535446,1199
SensorLM,EEG_ECG,mesa-sleep-0979,0.545615,0.58202,1079
SensorLM,EEG_ECG,mesa-sleep-1030,0.564902,0.706422,1199
SensorLM,EEG_ECG,mesa-sleep-1048,0.659059,0.76645,1079
SensorLM,EEG_ECG,mesa-sleep-1080,0.593248,0.688642,1259
SensorLM,EEG_ECG,mesa-sleep-1087,0.688364,0.804726,1439
SensorLM,EEG_ECG,mesa-sleep-1098,0.663668,0.82819,1199
SensorLM,EEG_ECG,mesa-sleep-1102,0.596578,0.718555,1439
SensorLM,EEG_ECG,mesa-sleep-1127,0.466618,0.567139,1199
SensorLM,EEG_ECG,mesa-sleep-1139,0.439116,0.679167,1440
SensorLM,EEG_ECG,mesa-sleep-1215,0.536225,0.638032,1199
