model,condition,subject_id,macro_f1,accuracy,n_epochs
SensorLM,EEG_ONLY,mesa-sleep-0033,0.361456,0.615741,1080
SensorLM,EEG_ONLY,mesa-sleep-0056,0.679169,0.780403,1439
SensorLM,EEG_ONLY,mesa-sleep-0081,0.657965,0.742285,1199
SensorLM,EEG_ONLY,mesa-sleep-0084,0.573396,0.673061,1199
SensorLM,EEG_ONLY,mesa-sleep-0110,0.631579,0.782411,1319
SensorLM,EEG_ONLY,mesa-sleep-0118,0.698399,0.778148,1199
SensorLM,EEG_ONLY,mesa-sleep-0120,0.601999,0.806711,1490
SensorLM,EEG_ONLY,mesa-sleep-0183,0.497997,0.691452,1439
SensorLM,EEG_ONLY,mesa-sleep-0225,0.750375,0.839666,1079
SensorLM,EEG_ONLY,mesa-sleep-0236,0.529111,0.793535,959
SensorLM,EEG_ONLY,mesa-sleep-0271,0.422413,0.543786,1199
SensorLM,EEG_ONLY,mesa-sleep-0282,0.610966,0.698082,1199
SensorLM,EEG_ONLY,mesa-sleep-0318,0.605781,0.820684,1199
SensorLM,EEG_ONLY,mesa-sleep-0319,0.663029,0.706794,839
SensorLM,EEG_ONLY,mesa-sleep-0323,0.682101,0.880734,1199
SensorLM,EEG_ONLY,mesa-sleep-0328,0.393034,0.688797,1205
SensorLM,EEG_ONLY,mesa-sleep-0338,0.505358,0.74981,1319
SensorLM,EEG_ONLY,mesa-sleep-0459,0.756219,0.865298,1559
SensorLM,EEG_ONLY,mesa-sleep-0512,0.387797,0.826522,1199
SensorLM,EEG_ONLY,mesa-sleep-0528,0.546127,0.758109,1079
SensorLM,EEG_ONLY,mesa-sleep-0529,0.640267,0.747047,1439
SensorLM,EEG_ONLY,mesa-sleep-0548,0.634398,0.662651,1079
SensorLM,EEG_ONLY,mesa-sleep-0555,0.505771,0.6,155
SensorLM,EEG_ONLY,mesa-sleep-0563,0.659321,0.702789,1255
SensorLM,EEG_ONLY,mesa-sleep-0628,0.597695,0.772836,1259
SensorLM,EEG_ONLY,mesa-sleep-0688,0.491495,0.566265,1079
SensorLM,EEG_ONLY,mesa-sleep-0705,0.509877,0.591288,1079
SensorLM,EEG_ONLY,mesa-sleep-0715,0.671193,0.735233,1439
SensorLM,EEG_ONLY,mesa-sleep-0727,0.539732,0.814583,1440
SensorLM,EEG_ONLY,mesa-sleep-0747,0.516467,0.645042,1079
SensorLM,EEG_ONLY,mesa-sleep-0755,0.713016,0.800702,1139
SensorLM,EEG_ONLY,mesa-sleep-0762,0.731976,0.868659,1439
SensorLM,EEG_ONLY,mesa-sleep-0771,0.271374,0.408712,1079
SensorLM,EEG_ONLY,mesa-sleep-0860,0.61481,0.668056,1440
SensorLM,EEG_ONLY,mesa-sleep-0863,0.629666,0.731233,1079
SensorLM,EEG_ONLY,mesa-sleep-0889,0.478265,0.521779,1079
SensorLM,EEG_ONLY,mesa-sleep-0917,0.577304,0.645,1200
SensorLM,EEG_ONLY,mesa-sleep-0921,0.634084,0.792912,1439
SensorLM,EEG_ONLY,mesa-sleep-0928,0.428976,0.655072,1380
SensorLM,EEG_ONLY,mesa-sleep-0976,0.468728,0.631359,1199
SensorLM,EEG_ONLY,mesa-sleep-0979,0.515391,0.55051,1079
SensorLM,EEG_ONLY,mesa-sleep-1030,0.643375,0.767306,1199
SensorLM,EEG_ONLY,mesa-sleep-1048,0.732458,0.855422,1079
SensorLM,EEG_ONLY,mesa-sleep-1080,0.640803,0.716442,1259
SensorLM,EEG_ONLY,mesa-sleep-1087,0.712979,0.8082,1439
SensorLM,EEG_ONLY,mesa-sleep-1098,0.71753,0.849875,1199
SensorLM,EEG_ONLY,mesa-sleep-1102,0.635073,0.752606,1439
SensorLM,EEG_ONLY,mesa-sleep-1127,0.491446,0.591326,1199
SensorLM,EEG_ONLY,mesa-sleep-1139,0.446158,0.7,1440
SensorLM,EEG_ONLY,mesa-sleep-1215,0.539578,0.633862,1199
