model,condition,subject_id,macro_f1,accuracy,n_epochs
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0033,0.2199,0.3815,1080
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0056,0.4045,0.6146,1439
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0081,0.3159,0.5679,1199
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0084,0.2968,0.5302,1199
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0110,0.3786,0.6425,1319
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0118,0.3763,0.5888,1199
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0120,0.2805,0.5121,1490
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0183,0.3333,0.6895,1439
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0225,0.2926,0.4860,1079
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0236,0.2711,0.4651,959
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0271,0.4234,0.7156,1199
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0282,0.3672,0.6205,1199
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0318,0.2837,0.5570,1199
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0319,0.3694,0.5042,839
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0323,0.2195,0.4586,1199
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0328,0.3635,0.5976,1205
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0338,0.2894,0.5557,1319
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0459,0.3746,0.7319,1559
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0512,0.1886,0.3545,1199
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0528,0.3838,0.5489,1079
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0529,0.3432,0.5525,1439
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0548,0.3635,0.4754,1079
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0555,0.3696,0.5484,155
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0563,0.3218,0.4653,1255
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0628,0.3814,0.5728,1259
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0688,0.1674,0.3253,1079
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0705,0.2516,0.4184,1079
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0715,0.3802,0.5893,1439
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0727,0.2908,0.6181,1440
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0747,0.3118,0.4727,1079
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0755,0.3435,0.6488,1139
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0762,0.3520,0.5962,1439
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0771,0.2963,0.4710,1079
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0860,0.2932,0.5785,1440
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0863,0.1993,0.4321,1079
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0889,0.2807,0.3972,1079
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0917,0.3358,0.5583,1200
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0921,0.3851,0.6546,1439
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0928,0.3749,0.5725,1380
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0976,0.4076,0.6184,1199
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-0979,0.2716,0.4588,1079
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-1030,0.3960,0.6153,1199
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-1048,0.2782,0.4782,1079
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-1080,0.3571,0.5843,1259
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-1087,0.3725,0.6485,1439
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-1098,0.2486,0.5147,1199
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-1102,0.3774,0.6407,1439
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-1127,0.3974,0.6234,1199
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-1139,0.2896,0.4549,1440
SleepFM_FromScratch,ECG_ONLY,mesa-sleep-1215,0.3001,0.4682,1199
