model,condition,subject_id,macro_f1,accuracy,n_epochs
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0033,0.5153,0.6685,1080
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0056,0.6718,0.7925,1439
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0081,0.7112,0.8143,1199
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0084,0.6459,0.7634,1199
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0110,0.6724,0.7869,1319
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0118,0.7183,0.8073,1199
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0120,0.6374,0.7571,1490
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0183,0.6087,0.7428,1439
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0225,0.8125,0.8759,1079
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0236,0.6491,0.8391,959
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0271,0.6397,0.7527,1199
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0282,0.6864,0.7658,1199
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0318,0.7327,0.8583,1199
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0319,0.7265,0.7335,839
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0323,0.7687,0.9071,1199
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0328,0.5928,0.7984,1205
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0338,0.5654,0.7924,1319
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0459,0.7515,0.8763,1559
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0512,0.3601,0.7265,1199
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0528,0.5996,0.7794,1079
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0529,0.7796,0.8549,1439
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0548,0.6064,0.6571,1079
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0555,0.6152,0.6554,155
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0563,0.7217,0.7878,1255
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0628,0.6401,0.7559,1259
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0688,0.5108,0.5576,1079
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0705,0.5412,0.6338,1079
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0715,0.7912,0.8504,1439
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0727,0.5391,0.8184,1440
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0747,0.5716,0.6982,1079
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0755,0.8131,0.8689,1139
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0762,0.7621,0.8803,1439
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0771,0.3873,0.5013,1079
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0860,0.6753,0.7348,1440
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0863,0.6781,0.7858,1079
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0889,0.7261,0.8342,1079
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0917,0.6522,0.7024,1200
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0921,0.7115,0.8675,1439
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0928,0.6922,0.8073,1380
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0976,0.6468,0.7816,1199
SleepFM_FromScratch,EEG_ECG,mesa-sleep-0979,0.6257,0.6723,1079
SleepFM_FromScratch,EEG_ECG,mesa-sleep-1030,0.7168,0.8338,1199
SleepFM_FromScratch,EEG_ECG,mesa-sleep-1048,0.7458,0.8709,1079
SleepFM_FromScratch,EEG_ECG,mesa-sleep-1080,0.6839,0.7556,1259
SleepFM_FromScratch,EEG_ECG,mesa-sleep-1087,0.7831,0.8489,1439
SleepFM_FromScratch,EEG_ECG,mesa-sleep-1098,0.7596,0.8514,1199
SleepFM_FromScratch,EEG_ECG,mesa-sleep-1102,0.5957,0.6748,1439
SleepFM_FromScratch,EEG_ECG,mesa-sleep-1127,0.6081,0.7238,1199
SleepFM_FromScratch,EEG_ECG,mesa-sleep-1139,0.6368,0.8163,1440
SleepFM_FromScratch,EEG_ECG,mesa-sleep-1215,0.6789,0.7328,1199
