model,condition,subject_id,macro_f1,accuracy,n_epochs
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0033,0.5204,0.6741,1080
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0056,0.6725,0.7962,1439
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0081,0.7138,0.8187,1199
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0084,0.6483,0.7678,1199
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0110,0.6759,0.7895,1319
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0118,0.7214,0.8116,1199
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0120,0.6398,0.7597,1490
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0183,0.6104,0.7453,1439
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0225,0.8176,0.8795,1079
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0236,0.6517,0.8421,959
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0271,0.6432,0.7554,1199
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0282,0.6896,0.7698,1199
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0318,0.7354,0.8617,1199
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0319,0.7291,0.7372,839
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0323,0.7719,0.9106,1199
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0328,0.5943,0.8023,1205
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0338,0.5668,0.7952,1319
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0459,0.7542,0.8798,1559
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0512,0.3619,0.7296,1199
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0528,0.6027,0.7819,1079
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0529,0.7825,0.8584,1439
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0548,0.6083,0.6597,1079
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0555,0.6178,0.6581,155
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0563,0.7246,0.7913,1255
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0628,0.6429,0.7589,1259
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0688,0.5125,0.5602,1079
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0705,0.5437,0.6358,1079
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0715,0.7936,0.8537,1439
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0727,0.5418,0.8215,1440
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0747,0.5742,0.7013,1079
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0755,0.8159,0.8724,1139
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0762,0.7645,0.8836,1439
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0771,0.3896,0.5037,1079
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0860,0.6774,0.7382,1440
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0863,0.6808,0.7896,1079
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0889,0.7289,0.8371,1079
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0917,0.6547,0.7058,1200
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0921,0.7143,0.8708,1439
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0928,0.6951,0.8104,1380
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0976,0.6487,0.7845,1199
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-0979,0.6279,0.6749,1079
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-1030,0.7196,0.8367,1199
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-1048,0.7485,0.8743,1079
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-1080,0.6864,0.7587,1259
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-1087,0.7859,0.8521,1439
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-1098,0.7628,0.8547,1199
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-1102,0.5987,0.6772,1439
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-1127,0.6109,0.7268,1199
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-1139,0.6386,0.8194,1440
SleepFM_FromScratch,EEG_ONLY,mesa-sleep-1215,0.6815,0.7365,1199
