model,condition,subject_id,macro_f1,accuracy,n_epochs
YASA,EEG_ECG,mesa-sleep-0459,0.453018,0.769083,1559
YASA,EEG_ECG,mesa-sleep-0762,0.451981,0.635163,1439
YASA,EEG_ECG,mesa-sleep-0705,0.393164,0.604263,1079
YASA,EEG_ECG,mesa-sleep-0225,0.698606,0.772938,1079
YASA,EEG_ECG,mesa-sleep-0318,0.425418,0.674729,1199
YASA,EEG_ECG,mesa-sleep-0921,0.392942,0.81237,1439
YASA,EEG_ECG,mesa-sleep-1215,0.48913,0.753128,1199
YASA,EEG_ECG,mesa-sleep-0727,0.396207,0.7125,1440
YASA,EEG_ECG,mesa-sleep-0976,0.419851,0.705588,1199
YASA,EEG_ECG,mesa-sleep-0512,0.386651,0.671393,1199
YASA,EEG_ECG,mesa-sleep-0528,0.408452,0.743281,1079
YASA,EEG_ECG,mesa-sleep-0548,0.452532,0.540315,1079
YASA,EEG_ECG,mesa-sleep-1048,0.437313,0.590361,1079
YASA,EEG_ECG,mesa-sleep-0628,0.505812,0.760127,1259
YASA,EEG_ECG,mesa-sleep-1087,0.474655,0.699792,1439
YASA,EEG_ECG,mesa-sleep-0323,0.362749,0.711426,1199
YASA,EEG_ECG,mesa-sleep-0183,0.335263,0.706046,1439
YASA,EEG_ECG,mesa-sleep-0084,0.506675,0.710592,1199
YASA,EEG_ECG,mesa-sleep-0863,0.458677,0.670065,1079
YASA,EEG_ECG,mesa-sleep-0081,0.536871,0.66055,1199
YASA,EEG_ECG,mesa-sleep-0328,0.306851,0.565145,1205
YASA,EEG_ECG,mesa-sleep-0715,0.512566,0.688673,1439
YASA,EEG_ECG,mesa-sleep-0271,0.552268,0.777314,1199
YASA,EEG_ECG,mesa-sleep-1080,0.312533,0.442415,1259
YASA,EEG_ECG,mesa-sleep-0529,0.530516,0.789437,1439
YASA,EEG_ECG,mesa-sleep-0236,0.536318,0.824818,959
YASA,EEG_ECG,mesa-sleep-1139,0.43126,0.721528,1440
YASA,EEG_ECG,mesa-sleep-0056,0.486312,0.778318,1439
YASA,EEG_ECG,mesa-sleep-0747,0.395951,0.648749,1079
YASA,EEG_ECG,mesa-sleep-0563,0.343376,0.572908,1255
YASA,EEG_ECG,mesa-sleep-1098,0.239695,0.51543,1199
YASA,EEG_ECG,mesa-sleep-0755,0.48482,0.608428,1139
YASA,EEG_ECG,mesa-sleep-0120,0.274283,0.471141,1490
YASA,EEG_ECG,mesa-sleep-0033,0.552746,0.689815,1080
YASA,EEG_ECG,mesa-sleep-0917,0.530138,0.63,1200
YASA,EEG_ECG,mesa-sleep-0889,0.552335,0.692308,1079
YASA,EEG_ECG,mesa-sleep-0282,0.468848,0.703086,1199
YASA,EEG_ECG,mesa-sleep-1030,0.313971,0.548791,1199
YASA,EEG_ECG,mesa-sleep-0979,0.302465,0.493049,1079
YASA,EEG_ECG,mesa-sleep-0688,0.352414,0.492122,1079
YASA,EEG_ECG,mesa-sleep-0555,0.251919,0.290323,155
YASA,EEG_ECG,mesa-sleep-0860,0.435676,0.622917,1440
YASA,EEG_ECG,mesa-sleep-0110,0.477884,0.730099,1319
YASA,EEG_ECG,mesa-sleep-0118,0.507847,0.683903,1199
YASA,EEG_ECG,mesa-sleep-1102,0.517954,0.660181,1439
YASA,EEG_ECG,mesa-sleep-0338,0.452912,0.560273,1319
YASA,EEG_ECG,mesa-sleep-0319,0.476585,0.631704,839
YASA,EEG_ECG,mesa-sleep-0771,0.275615,0.589435,1079
YASA,EEG_ECG,mesa-sleep-0928,0.500955,0.769565,1380
YASA,EEG_ECG,mesa-sleep-1127,0.64273,0.851543,1199
